filename	author	author_birth_year	author_death_year	realname	title	source_title	colophon	first_book_publication	edition_year	firstprint_description	year
akhsharumov.kontsy_v_vodu.txt	Ахшарумов, Николай Дмитриевич	1819	1893		Концы в воду	Тайна угрюмого дома. старый русский детектив. [сборник]	М.: Э, 2017	1872	2017	Отечественные записки. 1872. №10—12, 	1872
aksakov.detskiye_gody_bagrova_vnuka.txt	Аксаков, Сергей Тимофеевич	1791	1859		Детские годы Багрова-внука	Детские годы Багрова-внука. [Для сред. шк. возраста]. С.Т. Аксаков. [Худож. Е.А. Ларченко]	Минск: Юнацтва, 1982	1858	1982	Детские годы Багрова-внука, служащие продолжением Семейной хроники , Москва: Типография Каткова и Ко., 1858	1858
aksakov.semeynaya_khronika.txt	Аксаков, Сергей Тимофеевич	1791	1859		Семейная хроника	Собрание сочинений. [Под общ. ред., с вступ. статьей, с. 3-54, и примеч. С. Машинского. Аксаков. 1791-1859, [Семейная хроника. Детские годы Багрова-внука. Аленький цветочек. Сказка ключницы Пелагеи]	М.: Правда, 1966	1856	1966	Семейная хроника и воспоминания, М.: Типография Л. И. Степановой, 1856	1856
alekseyev.igra_sudby.txt	Алексеев, Николай Николаевич	1871	1905		Игра судьбы	Игра судьбы. [Ист. роман]. Из эпохи царствования Екатерины II и Павла I. Н. Алексеев	М.: СКС, 1993	1913	1993	Игра судьбы. Ист. роман Н.Н. Алексеева, Санкт-Петербург А.А. Каспари [1913]	1913
alekseyev.lzhetsarevich.txt	Алексеев, Николай Николаевич	1871	1905		Лжецаревич	Игра судьбы. [Ист. роман]. Из эпохи царствования Екатерины II и Павла I. Н. Алексеев	М.: СКС, 1993	1898	1993	Розы и тернии. Ист. роман в 2 ч. Н.Н. Алексеев, Санкт-Петербург А.А. Каспари 1898	1898
amfiteatrov.otravlennaya_sovest.txt	Амфитеатров, Александр Валентинович	1862	1938		Отравленная совесть	Отравленная совесть. Роман. Рассказы. Александр Амфитеатров	М.: Росмэн, 2002	1890	2002	Людмила Верховская. Роман. Фантастические рассказы. [Смерть. Вечный жид. Белый охотник. Две шутки]. Ал. А-в, Москва тип. А.И. Мамонтова и К° 1890	1890
annenskaya.anna.txt	Анненская, Александра Никитична	1840	1915		Анна	Зимние вечера. [Сборник. Для сред. и ст. шк. возраста]. А.Н. Анненская. [Сост. и авт. вступ. ст. Е. Путилова. Рис. А. Слепкова]	Л.: Дет. лит. Ленингр. отдние, 1990	1881	1990	Анна. Роман для детей. А.Н. Анненская, Санкт-Петербург изд. кн. Е.А. Макуловой 1881	1881
annenskaya.brat_i_sestra.txt	Анненская, Александра Никитична	1840	1915		Брат и сестра	Зимние вечера. [Сборник. Для сред. и ст. шк. возраста]. А.Н. Анненская. [Сост. и авт. вступ. ст. Е. Путилова. Рис. А. Слепкова]	Л.: Дет. лит. Ленингр. отдние, 1990	1908	1990	Брат и сестра. [Рассказ для детей]. А.Н. Анненская, Санкт-Петербург тип. М.М. Стасюлевича 1908	1908
annenskaya.chuzhoy_khleb.txt	Анненская, Александра Никитична	1840	1915		Чужой хлеб	Чужой хлеб. [повести. для среднего школьного возраста]. А. Н. Анненская. [худож. А. Власова]	М.: ЭНАС, 2009	1871−1872	2009	Семья и школа. 1871. №9—10; 1872. №1—2, 	1872
annenskaya.mladshiy_brat.txt	Анненская, Александра Никитична	1840	1915		Младший брат	"Своим путем. Повести и рассказы для детей ст. возраста. С силуэтом Е.М. Бэм: ""Младший брат"". А.Н. Анненская"	СПб.: тип. М. М. Стасюлевича, 1889	1889	1889	"Своим путем. Повести и рассказы для детей ст. возраста. С силуэтом Е.М. Бэм: ""Младший брат"". А.Н. Анненская, СПб.: тип. М. М. Стасюлевича, 1889"	1889
